ensembl_gene_id	mgi_symbol	entrezgene	description
10090.ENSMUSP00000039252	ENSMUSG00000040134	Rdh7	54150	retinol dehydrogenase 7 [Source:MGI Symbol;Acc:MGI:1860517]
10090.ENSMUSP00000104076	ENSMUSG00000038224	Serpinf2	18816	serine (or cysteine) peptidase inhibitor, clade F, member 2 [Source:MGI Symbol;Acc:MGI:107173]
10090.ENSMUSP00000113126	ENSMUSG00000032081	Apoc3	11814	apolipoprotein C-III [Source:MGI Symbol;Acc:MGI:88055]
10090.ENSMUSP00000023583	ENSMUSG00000022868	Ahsg	11625	alpha-2-HS-glycoprotein [Source:MGI Symbol;Acc:MGI:107189]
10090.ENSMUSP00000000058	ENSMUSG00000000058	Cav2	12390	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
10090.ENSMUSP00000097547	ENSMUSG00000019843	Fyn	14360	Fyn proto-oncogene [Source:MGI Symbol;Acc:MGI:95602]
10090.ENSMUSP00000000080	ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
10090.ENSMUSP00000027941	ENSMUSG00000026628	Atf3	11910	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]
10090.ENSMUSP00000000090	ENSMUSG00000000088	Cox5a	12858	cytochrome c oxidase, subunit Va [Source:MGI Symbol;Acc:MGI:88474]
10090.ENSMUSP00000045284	ENSMUSG00000038462	Uqcrfs1	66694	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:MGI Symbol;Acc:MGI:1913944]
10090.ENSMUSP00000081003	ENSMUSG00000064370	mt-Cytb	17711	mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]
10090.ENSMUSP00000047661	ENSMUSG00000041697	Cox6a1	12861	cytochrome c oxidase, subunit VI a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:103099]
10090.ENSMUSP00000040717	ENSMUSG00000035885	Cox8a	100048483;12868	cytochrome c oxidase, subunit VIIIa [Source:MGI Symbol;Acc:MGI:105959]
10090.ENSMUSP00000033582	ENSMUSG00000031231	Cox7b	66142	cytochrome c oxidase subunit VIIb [Source:MGI Symbol;Acc:MGI:1913392]
10090.ENSMUSP00000077744	ENSMUSG00000063882	Uqcrh	66576	ubiquinol-cytochrome c reductase hinge protein [Source:MGI Symbol;Acc:MGI:1913826]
10090.ENSMUSP00000026743	ENSMUSG00000025651	Uqcrc1	22273	ubiquinol-cytochrome c reductase core protein 1 [Source:MGI Symbol;Acc:MGI:107876]
10090.ENSMUSP00000054856	ENSMUSG00000059534	Uqcr10	622178;66152	ubiquinol-cytochrome c reductase, complex III subunit X [Source:MGI Symbol;Acc:MGI:1913402]
10090.ENSMUSP00000014457	ENSMUSG00000014313	Cox6c	12864;621837	cytochrome c oxidase, subunit VIc [Source:MGI Symbol;Acc:MGI:104614]
10090.ENSMUSP00000053145	ENSMUSG00000044894	Uqcrq	22272	ubiquinol-cytochrome c reductase, complex III subunit VII [Source:MGI Symbol;Acc:MGI:107807]
10090.ENSMUSP00000033176	ENSMUSG00000030884	Uqcrc2	67003	ubiquinol cytochrome c reductase core protein 2 [Source:MGI Symbol;Acc:MGI:1914253]
10090.ENSMUSP00000023210	ENSMUSG00000022551	Cyc1	66445	cytochrome c-1 [Source:MGI Symbol;Acc:MGI:1913695]
10090.ENSMUSP00000075150	ENSMUSG00000036751	Cox6b1	110323	cytochrome c oxidase, subunit VIb polypeptide 1 [Source:MGI Symbol;Acc:MGI:107460]
10090.ENSMUSP00000000095	ENSMUSG00000000093	Tbx2	21385	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
10090.ENSMUSP00000098242	ENSMUSG00000021835	Bmp4	12159	bone morphogenetic protein 4 [Source:MGI Symbol;Acc:MGI:88180]
10090.ENSMUSP00000000122	ENSMUSG00000000120	Ngfr	18053	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
10090.ENSMUSP00000025910	ENSMUSG00000024959	Bad	12015	BCL2-associated agonist of cell death [Source:MGI Symbol;Acc:MGI:1096330]
10090.ENSMUSP00000031895	ENSMUSG00000029863	Casp2	12366	caspase 2 [Source:MGI Symbol;Acc:MGI:97295]
10090.ENSMUSP00000034359	ENSMUSG00000031887	Tradd	71609	TNFRSF1A-associated via death domain [Source:MGI Symbol;Acc:MGI:109200]
10090.ENSMUSP00000003550	ENSMUSG00000003458	Ncstn	59287	nicastrin [Source:MGI Symbol;Acc:MGI:1891700]
10090.ENSMUSP00000105970	ENSMUSG00000027381	Bcl2l11	12125	BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519]
10090.ENSMUSP00000122976	ENSMUSG00000049532	Sall2	50524	sal-like 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1354373]
10090.ENSMUSP00000106735	ENSMUSG00000010609	Psen2	19165	presenilin 2 [Source:MGI Symbol;Acc:MGI:109284]
10090.ENSMUSP00000070993	ENSMUSG00000020849	Ywhae	22627	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:894689]
10090.ENSMUSP00000119114	ENSMUSG00000021514	Zfp369	170936	zinc finger protein 369 [Source:MGI Symbol;Acc:MGI:2176229]
10090.ENSMUSP00000033939	ENSMUSG00000031537	Ikbkb	16150	inhibitor of kappaB kinase beta [Source:MGI Symbol;Acc:MGI:1338071]
10090.ENSMUSP00000041942	ENSMUSG00000035529	Prdm4	72843	PR domain containing 4 [Source:MGI Symbol;Acc:MGI:1920093]
10090.ENSMUSP00000103884	ENSMUSG00000037643	Prkci	18759	protein kinase C, iota [Source:MGI Symbol;Acc:MGI:99260]
10090.ENSMUSP00000029812	ENSMUSG00000028163	Nfkb1	18033	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105 [Source:MGI Symbol;Acc:MGI:97312]
10090.ENSMUSP00000099835	ENSMUSG00000015837	Sqstm1	18412	sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]
10090.ENSMUSP00000021413	ENSMUSG00000021025	Nfkbia	18035	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha [Source:MGI Symbol;Acc:MGI:104741]
10090.ENSMUSP00000018841	ENSMUSG00000018697	Aatf	56321	apoptosis antagonizing transcription factor [Source:MGI Symbol;Acc:MGI:1929608]
10090.ENSMUSP00000091238	ENSMUSG00000031628	Casp3	12367	caspase 3 [Source:MGI Symbol;Acc:MGI:107739]
10090.ENSMUSP00000099087	ENSMUSG00000052593	Adam17	11491	a disintegrin and metallopeptidase domain 17 [Source:MGI Symbol;Acc:MGI:1096335]
10090.ENSMUSP00000025867	ENSMUSG00000024927	Rela	19697	v-rel reticuloendotheliosis viral oncogene homolog A (avian) [Source:MGI Symbol;Acc:MGI:103290]
10090.ENSMUSP00000098786	ENSMUSG00000019969	Psen1	19164	presenilin 1 [Source:MGI Symbol;Acc:MGI:1202717]
10090.ENSMUSP00000057989	ENSMUSG00000048482	Bdnf	12064	brain derived neurotrophic factor [Source:MGI Symbol;Acc:MGI:88145]
10090.ENSMUSP00000019965	ENSMUSG00000019822	Smpd2	20598	sphingomyelin phosphodiesterase 2, neutral [Source:MGI Symbol;Acc:MGI:1278330]
10090.ENSMUSP00000054140	ENSMUSG00000049612	Omg	18377	oligodendrocyte myelin glycoprotein [Source:MGI Symbol;Acc:MGI:106586]
10090.ENSMUSP00000109894	ENSMUSG00000049556	Lingo1	235402	leucine rich repeat and Ig domain containing 1 [Source:MGI Symbol;Acc:MGI:1915522]
10090.ENSMUSP00000038833	ENSMUSG00000041135	Ripk2	192656	receptor (TNFRSF)-interacting serine-threonine kinase 2 [Source:MGI Symbol;Acc:MGI:1891456]
10090.ENSMUSP00000099907	ENSMUSG00000020458	Rtn4	68585	reticulon 4 [Source:MGI Symbol;Acc:MGI:1915835]
10090.ENSMUSP00000088052	ENSMUSG00000068747	Sort1	20661	sortilin 1 [Source:MGI Symbol;Acc:MGI:1338015]
10090.ENSMUSP00000045369	ENSMUSG00000033585	Ndn	17984	necdin [Source:MGI Symbol;Acc:MGI:97290]
10090.ENSMUSP00000004949	ENSMUSG00000027164	Traf6	22034	TNF receptor-associated factor 6 [Source:MGI Symbol;Acc:MGI:108072]
10090.ENSMUSP00000057916	ENSMUSG00000074121	Ntf5	78405	neurotrophin 5 [Source:MGI Symbol;Acc:MGI:97381]
10090.ENSMUSP00000004614	ENSMUSG00000058638	Zfp110	65020	zinc finger protein 110 [Source:MGI Symbol;Acc:MGI:1890378]
10090.ENSMUSP00000026142	ENSMUSG00000025151	Maged1	94275	melanoma antigen, family D, 1 [Source:MGI Symbol;Acc:MGI:1930187]
10090.ENSMUSP00000033769	ENSMUSG00000031392	Irak1	16179	interleukin-1 receptor-associated kinase 1 [Source:MGI Symbol;Acc:MGI:107420]
10090.ENSMUSP00000063714	ENSMUSG00000025132	Arhgdia	192662	Rho GDP dissociation inhibitor (GDI) alpha [Source:MGI Symbol;Acc:MGI:2178103]
10090.ENSMUSP00000073489	ENSMUSG00000036634	Mag	17136	myelin-associated glycoprotein [Source:MGI Symbol;Acc:MGI:96912]
10090.ENSMUSP00000107863	ENSMUSG00000049107	Ntf3	18205	neurotrophin 3 [Source:MGI Symbol;Acc:MGI:97380]
10090.ENSMUSP00000063039	ENSMUSG00000046432	Ngfrap1	12070	nerve growth factor receptor (TNFRSF16) associated protein 1 [Source:MGI Symbol;Acc:MGI:1338016]
10090.ENSMUSP00000102538	ENSMUSG00000027859	Ngf	18049	nerve growth factor [Source:MGI Symbol;Acc:MGI:97321]
10090.ENSMUSP00000000127	ENSMUSG00000000125	Wnt3	22415	wingless-related MMTV integration site 3 [Source:MGI Symbol;Acc:MGI:98955]
10090.ENSMUSP00000010044	ENSMUSG00000009900	Wnt3a	22416	wingless-related MMTV integration site 3A [Source:MGI Symbol;Acc:MGI:98956]
10090.ENSMUSP00000023734	ENSMUSG00000022997	Wnt1	22408	wingless-related MMTV integration site 1 [Source:MGI Symbol;Acc:MGI:98953]
10090.ENSMUSP00000067783	ENSMUSG00000045005	Fzd5	14367	frizzled homolog 5 (Drosophila) [Source:MGI Symbol;Acc:MGI:108571]
10090.ENSMUSP00000010941	ENSMUSG00000010797	Wnt2	22413	wingless-related MMTV integration site 2 [Source:MGI Symbol;Acc:MGI:98954]
10090.ENSMUSP00000091463	ENSMUSG00000050288	Fzd2	57265	frizzled homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1888513]
10090.ENSMUSP00000049852	ENSMUSG00000049791	Fzd4	14366	frizzled homolog 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:108520]
10090.ENSMUSP00000058629	ENSMUSG00000044674	Fzd1	14362	frizzled homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1196625]
10090.ENSMUSP00000107893	ENSMUSG00000021994	Wnt5a	22418	wingless-related MMTV integration site 5A [Source:MGI Symbol;Acc:MGI:98958]
10090.ENSMUSP00000039660	ENSMUSG00000036904	Fzd8	14370	frizzled homolog 8 (Drosophila) [Source:MGI Symbol;Acc:MGI:108460]
10090.ENSMUSP00000041825	ENSMUSG00000041075	Fzd7	14369	frizzled homolog 7 (Drosophila) [Source:MGI Symbol;Acc:MGI:108570]
10090.ENSMUSP00000000128	ENSMUSG00000000126	Wnt9a	216795	wingless-type MMTV integration site 9A [Source:MGI Symbol;Acc:MGI:2446084]
10090.ENSMUSP00000006713	ENSMUSG00000006538	Ihh	16147	Indian hedgehog [Source:MGI Symbol;Acc:MGI:96533]
10090.ENSMUSP00000000129	ENSMUSG00000000127	Fer	14158	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
10090.ENSMUSP00000071836	ENSMUSG00000029217	Tec	21682	tec protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:98662]
10090.ENSMUSP00000034625	ENSMUSG00000032113	Chek1	12649	checkpoint kinase 1 [Source:MGI Symbol;Acc:MGI:1202065]
10090.ENSMUSP00000079733	ENSMUSG00000053158	Fes	14159	feline sarcoma oncogene [Source:MGI Symbol;Acc:MGI:95514]
10090.ENSMUSP00000007130	ENSMUSG00000006932	Ctnnb1	12387	catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]
10090.ENSMUSP00000107323	ENSMUSG00000034101	Ctnnd1	12388	catenin (cadherin associated protein), delta 1 [Source:MGI Symbol;Acc:MGI:105100]
10090.ENSMUSP00000116465	ENSMUSG00000005672	Kit	16590	kit oncogene [Source:MGI Symbol;Acc:MGI:96677]
10090.ENSMUSP00000100920	ENSMUSG00000019966	Kitl	17311	kit ligand [Source:MGI Symbol;Acc:MGI:96974]
10090.ENSMUSP00000061754	ENSMUSG00000048376	F2r	14062	coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]
10090.ENSMUSP00000039900	ENSMUSG00000041977	Arhgef11	213498	Rho guanine nucleotide exchange factor (GEF) 11 [Source:MGI Symbol;Acc:MGI:2441869]
10090.ENSMUSP00000072547	ENSMUSG00000059495	Arhgef12	69632	Rho guanine nucleotide exchange factor (GEF) 12 [Source:MGI Symbol;Acc:MGI:1916882]
10090.ENSMUSP00000096280	ENSMUSG00000040940	Arhgef1	16801	Rho guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:1353510]
10090.ENSMUSP00000000175	ENSMUSG00000000171	Sdhd	66925	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]
10090.ENSMUSP00000026495	ENSMUSG00000025428	Atp5a1	11946	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 [Source:MGI Symbol;Acc:MGI:88115]
10090.ENSMUSP00000022706	ENSMUSG00000022110	Sucla2	20916	succinate-Coenzyme A ligase, ADP-forming, beta subunit [Source:MGI Symbol;Acc:MGI:1306775]
10090.ENSMUSP00000027810	ENSMUSG00000026526	Fh1	14194	fumarate hydratase 1 [Source:MGI Symbol;Acc:MGI:95530]
10090.ENSMUSP00000065113	ENSMUSG00000052738	Suclg1	56451	succinate-CoA ligase, GDP-forming, alpha subunit [Source:MGI Symbol;Acc:MGI:1927234]
10090.ENSMUSP00000022062	ENSMUSG00000021577	Sdha	66945	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:MGI Symbol;Acc:MGI:1914195]
10090.ENSMUSP00000010007	ENSMUSG00000009863	Sdhb	67680	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:MGI Symbol;Acc:MGI:1914930]
10090.ENSMUSP00000106968	ENSMUSG00000058076	Sdhc	66052	succinate dehydrogenase complex, subunit C, integral membrane protein [Source:MGI Symbol;Acc:MGI:1913302]
10090.ENSMUSP00000000186	ENSMUSG00000000182	Fgf23	64654	fibroblast growth factor 23 [Source:MGI Symbol;Acc:MGI:1891427]
10090.ENSMUSP00000020507	ENSMUSG00000057967	Fgf18	14172	fibroblast growth factor 18 [Source:MGI Symbol;Acc:MGI:1277980]
10090.ENSMUSP00000026241	ENSMUSG00000025219	Fgf8	14179	fibroblast growth factor 8 [Source:MGI Symbol;Acc:MGI:99604]
10090.ENSMUSP00000078863	ENSMUSG00000057457	Phex	18675	phosphate regulating gene with homologies to endopeptidases on the X chromosome (hypophosphatemia, vitamin D resistant rickets) [Source:MGI Symbol;Acc:MGI:107489]
10090.ENSMUSP00000122227	ENSMUSG00000037225	Fgf2	14173	fibroblast growth factor 2 [Source:MGI Symbol;Acc:MGI:95516]
10090.ENSMUSP00000031280	ENSMUSG00000029337	Fgf5	14176	fibroblast growth factor 5 [Source:MGI Symbol;Acc:MGI:95519]
10090.ENSMUSP00000111245	ENSMUSG00000036585	Fgf1	14164	fibroblast growth factor 1 [Source:MGI Symbol;Acc:MGI:95515]
10090.ENSMUSP00000000187	ENSMUSG00000000183	Fgf6	14177	fibroblast growth factor 6 [Source:MGI Symbol;Acc:MGI:95520]
10090.ENSMUSP00000056752	ENSMUSG00000050917	Fgf4	14175	fibroblast growth factor 4 [Source:MGI Symbol;Acc:MGI:95518]
10090.ENSMUSP00000022697	ENSMUSG00000022101	Fgf17	14171	fibroblast growth factor 17 [Source:MGI Symbol;Acc:MGI:1202401]
10090.ENSMUSP00000022545	ENSMUSG00000021974	Fgf9	14180	fibroblast growth factor 9 [Source:MGI Symbol;Acc:MGI:104723]
10090.ENSMUSP00000106072	ENSMUSG00000027208	Fgf7	14178	fibroblast growth factor 7 [Source:MGI Symbol;Acc:MGI:95521]
10090.ENSMUSP00000034014	ENSMUSG00000031603	Fgf20	80857	fibroblast growth factor 20 [Source:MGI Symbol;Acc:MGI:1891346]
10090.ENSMUSP00000033389	ENSMUSG00000031073	Fgf15	14170	fibroblast growth factor 15 [Source:MGI Symbol;Acc:MGI:1096383]
10090.ENSMUSP00000068053	ENSMUSG00000029307	Dmp1	13406	dentin matrix protein 1 [Source:MGI Symbol;Acc:MGI:94910]
10090.ENSMUSP00000022246	ENSMUSG00000021732	Fgf10	14165	fibroblast growth factor 10 [Source:MGI Symbol;Acc:MGI:1099809]
10090.ENSMUSP00000028378	ENSMUSG00000026994	Galnt3	14425	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 [Source:MGI Symbol;Acc:MGI:894695]
10090.ENSMUSP00000078723	ENSMUSG00000059077	Pth	19226	parathyroid hormone [Source:MGI Symbol;Acc:MGI:97799]
10090.ENSMUSP00000112112	ENSMUSG00000021490	Slc34a1	20505	solute carrier family 34 (sodium phosphate), member 1 [Source:MGI Symbol;Acc:MGI:1345284]
10090.ENSMUSP00000112430	ENSMUSG00000030849	Fgfr2	14183	fibroblast growth factor receptor 2 [Source:MGI Symbol;Acc:MGI:95523]
10090.ENSMUSP00000110053	ENSMUSG00000054252	Fgfr3	14184	fibroblast growth factor receptor 3 [Source:MGI Symbol;Acc:MGI:95524]
10090.ENSMUSP00000005452	ENSMUSG00000005320	Fgfr4	14186	fibroblast growth factor receptor 4 [Source:MGI Symbol;Acc:MGI:95525]
10090.ENSMUSP00000077899	ENSMUSG00000058488	Kl	16591	klotho [Source:MGI Symbol;Acc:MGI:1101771]
10090.ENSMUSP00000081041	ENSMUSG00000031565	Fgfr1	14182	fibroblast growth factor receptor 1 [Source:MGI Symbol;Acc:MGI:95522]
10090.ENSMUSP00000033392	ENSMUSG00000031074	Fgf3	14174	fibroblast growth factor 3 [Source:MGI Symbol;Acc:MGI:95517]
10090.ENSMUSP00000020577	ENSMUSG00000020327	Fgf22	67112	fibroblast growth factor 22 [Source:MGI Symbol;Acc:MGI:1914362]
10090.ENSMUSP00000000188	ENSMUSG00000000184	Ccnd2	12444	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]
10090.ENSMUSP00000083561	ENSMUSG00000096472	Cdkn2d	12581	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4) [Source:MGI Symbol;Acc:MGI:105387]
10090.ENSMUSP00000034091	ENSMUSG00000031666	Rbl2	19651	retinoblastoma-like 2 [Source:MGI Symbol;Acc:MGI:105085]
10090.ENSMUSP00000047359	ENSMUSG00000028023	Pitx2	18741	paired-like homeodomain transcription factor 2 [Source:MGI Symbol;Acc:MGI:109340]
10090.ENSMUSP00000022971	ENSMUSG00000022346	Myc	17869	myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250]
10090.ENSMUSP00000037302	ENSMUSG00000037664	Cdkn1c	12577	cyclin-dependent kinase inhibitor 1C (P57) [Source:MGI Symbol;Acc:MGI:104564]
10090.ENSMUSP00000022701	ENSMUSG00000022105	Rb1	19645	retinoblastoma 1 [Source:MGI Symbol;Acc:MGI:97874]
10090.ENSMUSP00000030814	ENSMUSG00000028969	Cdk5	12568	cyclin-dependent kinase 5 [Source:MGI Symbol;Acc:MGI:101765]
10090.ENSMUSP00000026416	ENSMUSG00000025358	Cdk2	12566	cyclin-dependent kinase 2 [Source:MGI Symbol;Acc:MGI:104772]
10090.ENSMUSP00000023829	ENSMUSG00000023067	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556]
10090.ENSMUSP00000065832	ENSMUSG00000003031	Cdkn1b	12576	cyclin-dependent kinase inhibitor 1B [Source:MGI Symbol;Acc:MGI:104565]
10090.ENSMUSP00000037925	ENSMUSG00000040274	Cdk6	12571	cyclin-dependent kinase 6 [Source:MGI Symbol;Acc:MGI:1277162]
10090.ENSMUSP00000006911	ENSMUSG00000006728	Cdk4	12567;640611	cyclin-dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]
10090.ENSMUSP00000000193	ENSMUSG00000035385	Ccl2	20296	chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]
10090.ENSMUSP00000002678	ENSMUSG00000002603	Tgfb1	21803	transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]
10090.ENSMUSP00000026845	ENSMUSG00000025746	Il6	16193	interleukin 6 [Source:MGI Symbol;Acc:MGI:96559]
10090.ENSMUSP00000038473	ENSMUSG00000042262	Ccr8	12776	chemokine (C-C motif) receptor 8 [Source:MGI Symbol;Acc:MGI:1201402]
10090.ENSMUSP00000095029	ENSMUSG00000040899	Ccr6	12458	chemokine (C-C motif) receptor 6 [Source:MGI Symbol;Acc:MGI:1333797]
10090.ENSMUSP00000029771	ENSMUSG00000028128	F3	14066	coagulation factor III [Source:MGI Symbol;Acc:MGI:88381]
10090.ENSMUSP00000031327	ENSMUSG00000029380	Cxcl1	14825	chemokine (C-X-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:108068]
10090.ENSMUSP00000049714	ENSMUSG00000048480	Cxcr1	227288	chemokine (C-X-C motif) receptor 1 [Source:MGI Symbol;Acc:MGI:2448715]
10090.ENSMUSP00000028881	ENSMUSG00000027398	Il1b	16176	interleukin 1 beta [Source:MGI Symbol;Acc:MGI:96543]
10090.ENSMUSP00000017881	ENSMUSG00000017737	Mmp9	17395	matrix metallopeptidase 9 [Source:MGI Symbol;Acc:MGI:97011]
10090.ENSMUSP00000071575	ENSMUSG00000023951	Vegfa	22339	vascular endothelial growth factor A [Source:MGI Symbol;Acc:MGI:103178]
10090.ENSMUSP00000099423	ENSMUSG00000037944	Ccr7	12775	chemokine (C-C motif) receptor 7 [Source:MGI Symbol;Acc:MGI:103011]
10090.ENSMUSP00000047646	ENSMUSG00000034855	Cxcl10	15945	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]
10090.ENSMUSP00000028882	ENSMUSG00000027399	Il1a	16175	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]
10090.ENSMUSP00000027372	ENSMUSG00000026180	Cxcr2	12765	chemokine (C-X-C motif) receptor 2 [Source:MGI Symbol;Acc:MGI:105303]
10090.ENSMUSP00000021011	ENSMUSG00000035373	Ccl7	20306	chemokine (C-C motif) ligand 7 [Source:MGI Symbol;Acc:MGI:99512]
10090.ENSMUSP00000052444	ENSMUSG00000050232	Cxcr3	12766	chemokine (C-X-C motif) receptor 3 [Source:MGI Symbol;Acc:MGI:1277207]
10090.ENSMUSP00000039107	ENSMUSG00000035448	Ccr3	12771	chemokine (C-C motif) receptor 3 [Source:MGI Symbol;Acc:MGI:104616]
10090.ENSMUSP00000025263	ENSMUSG00000024401	Tnf	21926	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]
10090.ENSMUSP00000107069	ENSMUSG00000079227	Ccr5	12774	chemokine (C-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:107182]
10090.ENSMUSP00000026911	ENSMUSG00000025804	Ccr1	12768	chemokine (C-C motif) receptor 1 [Source:MGI Symbol;Acc:MGI:104618]
10090.ENSMUSP00000063986	ENSMUSG00000052336	Cx3cr1	13051	chemokine (C-X3-C) receptor 1 [Source:MGI Symbol;Acc:MGI:1333815]
10090.ENSMUSP00000049909	ENSMUSG00000049103	Ccr2	12772	chemokine (C-C motif) receptor 2 [Source:MGI Symbol;Acc:MGI:106185]
10090.ENSMUSP00000000194	ENSMUSG00000035352	Ccl12	100862578;20293	chemokine (C-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:108224]
10090.ENSMUSP00000000342	ENSMUSG00000020676	Ccl11	20292	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]
